home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Fulham,Arsenal,0,3,False,True,4.39,4.75,2.98,3.2,0.66,0.71
Crystal Palace,Southampton,1,0,True,False,2.08,2.25,2.22,2.33,1.46,1.54
Liverpool,Leeds,4,3,True,False,0.27,0.3,5.16,5.6,9.88,11.25
West Ham,Newcastle,0,2,False,True,1.01,1.05,2.57,2.78,2.81,2.98
West Brom,Leicester,0,3,False,True,2.34,2.55,2.33,2.5,1.27,1.38
Tottenham,Everton,0,1,False,True,1.06,1.14,2.39,2.5,2.82,3.05
Sheffield Utd,Wolves,0,2,False,True,2.27,2.5,1.87,1.97,1.59,1.77
Brighton,Chelsea,1,3,False,True,4.98,5.4,3.41,3.7,0.55,0.6
Everton,West Brom,5,2,True,False,0.58,0.62,3.04,3.2,5.29,5.85
Leeds,Fulham,4,3,True,False,0.72,0.78,2.83,3.0,4.11,4.7
Manchester Utd,Crystal Palace,1,3,False,True,0.36,0.39,4.13,4.4,7.87,9.0
Arsenal,West Ham,2,1,True,False,0.51,0.6,3.5,3.8,5.56,6.16
Southampton,Tottenham,2,5,False,True,2.37,2.58,2.38,2.52,1.24,1.32
Newcastle,Brighton,0,3,False,True,1.61,1.77,2.18,2.31,1.91,2.15
Chelsea,Liverpool,0,2,False,True,2.43,2.65,2.84,2.98,1.05,1.17
Leicester,Burnley,4,2,True,False,0.55,0.64,3.19,3.46,5.43,6.12
Aston Villa,Sheffield Utd,1,0,True,False,1.46,1.6,2.18,2.3,2.16,2.35
Wolves,Manchester City,1,3,False,True,6.01,6.6,3.61,4.04,0.47,0.53
Brighton,Manchester Utd,2,3,False,True,4.4,4.85,3.15,3.45,0.63,0.68
Crystal Palace,Everton,1,2,False,True,2.53,2.81,2.33,2.5,1.19,1.27
West Brom,Chelsea,3,3,False,False,5.79,6.1,3.75,4.03,0.46,0.5
Burnley,Southampton,0,1,False,True,2.27,2.37,2.39,2.47,1.28,1.38
Sheffield Utd,Leeds,0,1,False,True,1.93,2.1,2.37,2.49,1.49,1.62
Tottenham,Newcastle,1,1,False,False,0.42,0.45,3.8,4.05,6.7,7.16
Manchester City,Leicester,2,5,False,True,0.32,0.36,4.85,5.15,8.19,8.96
West Ham,Wolves,4,0,True,False,2.34,2.43,2.29,2.38,1.28,1.33
Fulham,Aston Villa,0,3,False,True,2.04,2.22,2.4,2.5,1.4,1.48
Liverpool,Arsenal,3,1,True,False,0.49,0.53,4.11,4.35,4.85,5.35
Chelsea,Crystal Palace,4,0,True,False,0.53,0.6,3.31,3.6,5.49,6.12
Everton,Brighton,4,2,True,False,0.78,0.83,2.76,2.86,3.73,4.19
Leeds,Manchester City,1,1,False,False,7.43,8.0,5.74,6.5,0.3,0.33
Newcastle,Burnley,3,1,True,False,1.41,1.5,2.25,2.4,2.14,2.32
Southampton,West Brom,2,0,True,False,0.87,0.92,2.75,2.88,3.19,3.45
Leicester,West Ham,0,3,False,True,0.83,0.9,2.94,3.19,3.19,3.59
Wolves,Fulham,1,0,True,False,0.79,0.83,2.47,2.79,4.17,4.72
Arsenal,Sheffield Utd,2,1,True,False,0.5,0.55,3.31,3.5,5.97,6.5
Manchester Utd,Tottenham,1,6,False,True,1.07,1.18,2.63,2.76,2.58,2.8
Aston Villa,Liverpool,7,2,True,False,5.71,6.6,3.87,4.1,0.46,0.5
Everton,Liverpool,2,2,False,False,3.19,3.57,3.19,3.41,0.79,0.85
Chelsea,Southampton,3,3,False,False,0.58,0.62,3.52,3.7,4.48,4.96
Manchester City,Arsenal,1,0,True,False,0.54,0.55,3.76,4.0,4.66,5.4
Newcastle,Manchester Utd,1,4,False,True,3.63,3.92,3.14,3.4,0.72,0.76
Sheffield Utd,Fulham,1,1,False,False,1.29,1.4,2.18,2.31,2.47,2.74
Crystal Palace,Brighton,1,1,False,False,2.09,2.27,2.23,2.44,1.46,1.5
Tottenham,West Ham,3,3,False,False,0.63,0.69,3.21,3.4,4.41,4.61
Leicester,Aston Villa,0,1,False,True,1.38,1.48,2.58,2.68,1.95,2.12
West Brom,Burnley,0,0,False,False,1.58,1.73,2.28,2.47,1.89,1.99
Leeds,Wolves,0,1,False,True,1.47,1.61,2.36,2.48,1.96,2.09
Aston Villa,Leeds,0,3,False,True,0.92,1.01,2.97,3.12,2.74,2.88
West Ham,Manchester City,1,1,False,False,5.75,6.3,4.11,4.4,0.44,0.48
Fulham,Crystal Palace,1,2,False,True,1.59,1.66,2.19,2.32,1.95,2.08
Manchester Utd,Chelsea,0,0,False,False,1.6,1.74,2.48,2.73,1.73,1.81
